base_variant,guardrail,variant,entry_date,entry_price,entry_origin,exit_date,exit_price,exit_origin,status,net_return,max_drawdown,days,rsi,momentum_7d,volume_rel_20,sma200_slope_20d,sma50_vs_sma200,return_90d,distance_sma200
current_rsi40_65_mom7_high5,slope_gap__sp0p0__gm15p0,current_rsi40_65_mom7_high5__slope_gap__sp0p0__gm15p0,2026-08-17,1911.94,breakout_entry,,,,open,0.26474931221691045,-0.037284362826933815,5,56.60937915220985,0.021641089214722298,0.5306269438502533,-0.05631391775780392,-0.08224851279901446,-0.09389306465218994,-0.04797028438771889
current_rsi40_65_mom7_high5,risk2of3__sp0p0__gm15p0__rm10p0,current_rsi40_65_mom7_high5__risk2of3__sp0p0__gm15p0__rm10p0,2017-02-01,10.72,breakout_entry,2017-03-08,16.68,trail8_exit,closed,0.5509950280597011,-0.15243902439024393,35,61.04685813146917,0.01611374407582944,0.2126104849194732,-0.010416427670070005,-0.13515568848392112,-0.013799448022078997,-0.005819480188263615
current_rsi40_65_mom7_high5,risk2of3__sp0p0__gm15p0__rm10p0,current_rsi40_65_mom7_high5__risk2of3__sp0p0__gm15p0__rm10p0,2019-03-27,139.08,breakout_entry,2019-04-11,164.92,trail8_exit,closed,0.18200084983606524,-0.08752904725019373,15,56.30464199513452,0.0025228861817920833,0.4122320856994015,-0.08091708652037044,-0.13585013711072647,0.21329494896623946,-0.09182712980348706
current_rsi40_65_mom7_high5,risk2of3__sp0p0__gm15p0__rm10p0,current_rsi40_65_mom7_high5__risk2of3__sp0p0__gm15p0__rm10p0,2023-01-06,1268.84,breakout_entry,2023-03-03,1569.54,sma50_exit,closed,0.23303291984994168,-0.09872074098894257,56,59.159195113766316,0.05816028688182806,0.2651971681357934,-0.020006498222936098,-0.11875519646287613,-0.03562335165043973,-0.08657795325115425
current_rsi40_65_mom7_high5,risk2of3__sp0p0__gm15p0__rm10p0,current_rsi40_65_mom7_high5__risk2of3__sp0p0__gm15p0__rm10p0,2024-11-06,2724.27,breakout_entry,2024-12-18,3624.84,trail8_exit,closed,0.3263185336219978,-0.09531665314781301,42,61.016214229448266,0.024870587173082104,2.0410025321143843,-0.023899802587221464,-0.14269279300343107,0.015158798475176871,-0.07900863009147197
current_rsi40_65_mom7_high5,risk2of3__sp0p0__gm15p0__rm10p0,current_rsi40_65_mom7_high5__risk2of3__sp0p0__gm15p0__rm10p0,2026-08-17,1911.94,breakout_entry,,,,open,0.26474931221691045,-0.037284362826933815,5,56.60937915220985,0.021641089214722298,0.5306269438502533,-0.05631391775780392,-0.08224851279901446,-0.09389306465218994,-0.04797028438771889
rsi40_mom7_high5,none,rsi40_mom7_high5__none,2017-02-01,10.72,breakout_entry,2017-03-08,16.68,trail8_exit,closed,0.5509950280597011,-0.15243902439024393,35,61.04685813146917,0.01611374407582944,0.2126104849194732,-0.010416427670070005,-0.13515568848392112,-0.013799448022078997,-0.005819480188263615
rsi40_mom7_high5,none,rsi40_mom7_high5__none,2018-05-03,775.51,breakout_entry,2018-05-11,678.05,trail8_exit,closed,-0.12846774921277626,-0.16496305418719215,8,71.61990046759124,0.17323751891074135,0.46839802995781965,0.050799371889032274,-0.19111668352304267,-0.14965076371451447,0.18793984705567435
rsi40_mom7_high5,none,rsi40_mom7_high5__none,2019-03-27,139.08,breakout_entry,2019-04-11,164.92,trail8_exit,closed,0.18200084983606524,-0.08752904725019373,15,56.30464199513452,0.0025228861817920833,0.4122320856994015,-0.08091708652037044,-0.13585013711072647,0.21329494896623946,-0.09182712980348706
rsi40_mom7_high5,none,rsi40_mom7_high5__none,2020-01-15,166.29,breakout_entry,2020-02-19,258.66,trail8_exit,closed,0.5505018351650732,-0.09700632270234388,35,70.7352442673671,0.18271692745376944,1.050578830597526,-0.07303022433206707,-0.2397568865669728,-0.06215103491060858,-0.09712049361105102
rsi40_mom7_high5,none,rsi40_mom7_high5__none,2022-03-28,3334.47,breakout_entry,2022-04-06,3168.52,trail8_exit,closed,-0.052806338815104104,-0.10056262383685621,9,71.18485005502046,0.1533648325193353,0.4543042923855891,-0.016848297220428132,-0.18487257468970386,-0.12104373864885465,-0.04413656354156148
rsi40_mom7_high5,none,rsi40_mom7_high5__none,2023-01-06,1268.84,breakout_entry,2023-03-03,1569.54,sma50_exit,closed,0.23303291984994168,-0.09872074098894257,56,59.159195113766316,0.05816028688182806,0.2651971681357934,-0.020006498222936098,-0.11875519646287613,-0.03562335165043973,-0.08657795325115425
rsi40_mom7_high5,none,rsi40_mom7_high5__none,2023-10-24,1785.28,breakout_entry,2024-01-23,2240.81,sma50_exit,closed,0.2511455595052876,-0.14417696911366495,91,72.72115346446685,0.1405790805243925,2.1173409985681864,-0.010575851349257426,-0.0925171148825108,-0.046284029232018464,0.00014263102362566116
rsi40_mom7_high5,none,rsi40_mom7_high5__none,2024-11-06,2724.27,breakout_entry,2024-12-18,3624.84,trail8_exit,closed,0.3263185336219978,-0.09531665314781301,42,61.016214229448266,0.024870587173082104,2.0410025321143843,-0.023899802587221464,-0.14269279300343107,0.015158798475176871,-0.07900863009147197
rsi40_mom7_high5,none,rsi40_mom7_high5__none,2025-05-13,2679.88,breakout_entry,2025-06-05,2415.34,trail8_exit,closed,-0.10159518513127463,-0.09947952396575888,23,81.95411391977714,0.4748439787348795,0.35225555242089923,-0.019129641567617317,-0.3217562316347071,-0.021434466037143274,-0.008176103701459936
rsi40_mom7_high5,none,rsi40_mom7_high5__none,2025-06-10,2816.5,breakout_entry,2025-06-13,2580.21,trail8_exit,closed,-0.08682409609884623,-0.0838949050239659,3,67.1300706139388,0.08534390739220732,1.185290178573573,-0.016243970811183117,-0.12967255670515043,0.47620719837729886,0.05977045142496151
rsi40_mom7_high5,none,rsi40_mom7_high5__none,2026-01-06,3295.59,breakout_entry,2026-01-20,2936.5,sma50_exit,closed,-0.1118098072150967,-0.12469223386053507,14,68.54809241231482,0.1094693679681662,0.5843875941177006,0.01239220184380141,-0.16495982970007395,-0.27206281889868134,-0.08726234399307764
rsi40_mom7_high5,none,rsi40_mom7_high5__none,2026-08-17,1911.94,breakout_entry,,,,open,0.26474931221691045,-0.037284362826933815,5,56.60937915220985,0.021641089214722298,0.5306269438502533,-0.05631391775780392,-0.08224851279901446,-0.09389306465218994,-0.04797028438771889
rsi40_mom7_high5,slope_gap__sp0p0__gm15p0,rsi40_mom7_high5__slope_gap__sp0p0__gm15p0,2017-02-01,10.72,breakout_entry,2017-03-08,16.68,trail8_exit,closed,0.5509950280597011,-0.15243902439024393,35,61.04685813146917,0.01611374407582944,0.2126104849194732,-0.010416427670070005,-0.13515568848392112,-0.013799448022078997,-0.005819480188263615
rsi40_mom7_high5,slope_gap__sp0p0__gm15p0,rsi40_mom7_high5__slope_gap__sp0p0__gm15p0,2019-03-27,139.08,breakout_entry,2019-04-11,164.92,trail8_exit,closed,0.18200084983606524,-0.08752904725019373,15,56.30464199513452,0.0025228861817920833,0.4122320856994015,-0.08091708652037044,-0.13585013711072647,0.21329494896623946,-0.09182712980348706
